study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,10,10,0,,,_ho_e,Phone,old,chore,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.593335199999274],['submit_text'],,,,,0,10,10,12,45.5104374,,,,,,,,45.4965524,45.5104374,45.5104374,45.5104374,0.001796,50.0900908,chore,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.593335199999274],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,11,11,0,,,P_ _tr_,Patry,old,pastry,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.892888499998662],['submit_text'],,,,,0,11,11,4,50.1058783,,,,,,,,50.092173,50.1058783,50.1058783,50.1058783,0.0020077,54.9852761,pastry,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.892888499998662],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,12,12,0,,,p_nc_l,Pencil,new,pencil,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.47786780000024],['submit_text'],,,,,0,12,12,16,55.0011789,,,,,,,,54.9871501,55.0011789,55.0011789,55.0011789,0.0018023,58.4652384,pencil,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.47786780000024],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,13,13,0,,,_a_bl_,Marble,old,marble,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.209415600002103],['submit_text'],,,,,0,13,13,11,58.4817679,,,,,,,,58.4678317,58.4817679,58.4817679,58.4817679,0.0025189,62.6774662,marble,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.209415600002103],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,14,14,0,,,_ou_se,mouse,old,mousse,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.5280243000015616],['submit_text'],,,,,0,14,14,3,62.6936682,,,,,,,,62.679417,62.6936682,62.6936682,62.6936682,0.0018751,66.2076617,mousse,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.5280243000015616],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,15,15,0,,,c_s_,Case,old,cash,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.726434500000323],['submit_text'],,,,,0,15,15,5,66.2235211,,,,,,,,66.2095918,66.2235211,66.2235211,66.2235211,0.0018567,70.9362526,cash,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.726434500000323],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,16,16,0,,,v_s_,Vase,new,vase,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[2.510919599997578],['submit_text'],,,,,0,16,16,17,70.9523255,,,,,,,,70.9395411,70.9523255,70.9523255,70.9523255,0.0032093,73.450691,vase,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[2.510919599997578],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,17,17,0,,,_ru_s_,Cruise,old,cruise,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.4942299999966053],['submit_text'],,,,,0,17,17,6,73.466892,,,,,,,,73.4525432,73.466892,73.466892,73.466892,0.0017726,76.9470092,cruise,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.4942299999966053],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,18,18,0,,,T_hi_t,Tshirt,old,tshirt,[np.float64(-0.03125)],[np.float64(-0.2903645833333333)],[1],[0],[0],[5.359640900001978],['submit_text'],,,,,0,18,18,2,76.9629037,,,,,,,,76.9488875,76.9629037,76.9629037,76.9629037,0.0018057,82.308757,tshirt,[np.float64(-0.03125)],[np.float64(-0.2903645833333333)],[1],[0],[0],[5.359640900001978],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,19,19,0,,,bo_t_e,Bottle,new,bottle,[np.float64(-0.03125)],[np.float64(-0.2903645833333333)],[1],[0],[0],[3.7945074000017485],['submit_text'],,,,,0,19,19,18,82.3250527,,,,,,,,82.3106212,82.3250527,82.3250527,82.3250527,0.0017896,86.1053645,bottle,[np.float64(-0.03125)],[np.float64(-0.2903645833333333)],[1],[0],[0],[3.7945074000017485],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prop hits from study list ,,,12,0.857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prop hits for non primed words ,,,4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Priming score ,,,,0.057142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
