study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,l_pt_p,Laptop,old ,"laptop
","[np.float64(-0.5065104166666666), np.float64(-0.0703125), np.float64(-0.02734375)]","[np.float64(-0.3138020833333333), np.float64(-0.33203125), np.float64(-0.3059895833333333)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.2567209999979241, 3.9364407999964897, 4.901885699997365]","[None, None, 'submit_text']",,,,,0,0,0,0,8.5303438,,,,,,,,8.5239609,8.5303438,8.5303438,8.5303438,0.0100964,13.4260332,"laptop
","[np.float64(-0.5065104166666666), np.float64(-0.0703125), np.float64(-0.02734375)]","[np.float64(-0.3138020833333333), np.float64(-0.33203125), np.float64(-0.3059895833333333)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.2567209999979241, 3.9364407999964897, 4.901885699997365]","[None, None, 'submit_text']",par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,1,1,0,,,K_y_,Keys,old,keys,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.027531799998542],['submit_text'],,,,,0,1,1,8,13.4424106,,,,,,,,13.4279263,13.4424106,13.4424106,13.4424106,0.001782,17.4556349,keys,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.027531799998542],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,2,2,0,,,P_li_e,Police,old,police,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.4773180999982287],['submit_text'],,,,,0,2,2,7,17.47126,,,,,,,,17.4578752,17.47126,17.47126,17.47126,0.0021671,20.9353755,police,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.4773180999982287],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,3,3,0,,,c_m_ra,Camera,new,camera,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.894190400002117],['submit_text'],,,,,0,3,3,19,20.9511739,,,,,,,,20.9371941,20.9511739,20.9511739,20.9511739,0.0017461,24.8315724,camera,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.894190400002117],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,4,4,0,,,ta_l_,Table,new,fable,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.160447599999316],['submit_text'],,,,,0,4,4,15,24.8473824,,,,,,,,24.8334067,24.8473824,24.8473824,24.8473824,0.001763,28.9940409,table,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[4.160447599999316],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,5,5,0,,,_oo_,Book,old,book,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.061789699997462],['submit_text'],,,,,0,5,5,13,29.0099286,,,,,,,,28.9957473,29.0099286,29.0099286,29.0099286,0.0016281,32.0577233,book,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.061789699997462],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,6,6,0,,,c_s_io_,Cushion,old,cushion,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.977975299996615],['submit_text'],,,,,0,6,6,14,32.073513,,,,,,,,32.0595975,32.073513,32.073513,32.073513,0.0018027,36.0378076,cushion,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.977975299996615],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,7,7,0,,,_ha_t,Chart,old,chart,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[2.6616966999936267],['submit_text'],,,,,0,7,7,1,36.0530209,,,,,,,,36.0399867,36.0530209,36.0530209,36.0530209,0.0020477,38.7018779,chart,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[2.6616966999936267],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,8,8,0,,,P_st_r,Poster,old,poster,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.493544600001769],['submit_text'],,,,,0,8,8,9,38.7176164,,,,,,,,38.7038713,38.7176164,38.7176164,38.7176164,0.0019205,42.1976219,poster,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.493544600001769],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
,9,9,0,,,_o_rd,Board,old,board,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.2950098000001162],['submit_text'],,,,,0,9,9,10,42.2135267,,,,,,,,42.1994692,42.2135267,42.2135267,42.2135267,0.0017655,45.4946811,board,[np.float64(-0.02734375)],[np.float64(-0.3059895833333333)],[1],[0],[0],[3.2950098000001162],['submit_text'],par03,1,2025-10-16_23h19.05.146,exp 5,,2025.1.1,60.08961766,2025-10-16 23h19.18.721645 +0530
