Participant,Brand,Familiarity_Rating,Familiarity,Color,Color_Association,Textbox_Response,Memory_Recall
esha1,nike,1.010416667,Familiar,black,Strong,nike,1
esha1,district,1.010416667,Familiar,purple,Weak,,0
esha1,coca cola,1.052083333,Familiar,red,Strong,coca cola,1
esha1,snapchat,1.052083333,Familiar,yellow,Strong,snapchat,1
esha1,starbucks,1.052083333,Familiar,green,Strong,starbucks,1
esha1,icici,3.052083333,Unfamiliar,orangered,Strong,icici,1
esha1,ups,4,Unfamiliar,blackgold,weak,,0
esha1,motherdairy,4.005208333,Unfamiliar,light blue,Weak,,0
esha1,alibaba,4.005208333,Unfamiliar,orange,Weak,alibaba,0
esha1,dropbox,4.052083333,Unfamiliar,dark blue,Strong,dropbox,1
esha1,hilton,4.953125,Unfamiliar,blue,strong,hilton,1
,,,,,,,
dhun1,nike,1,Familiar,black,Strong,nike,1
dhun1,icici,1,Familiar,orangered,Strong,icici bank,1
dhun1,starbucks,1.020833333,Familiar,green,Strong,starbucks,1
dhun1,barbie,1.036458333,Familiar,pink,Strong,barbie,1
dhun1,dropbox,1.927083333,Familiar,dark blue,weak,,0
dhun1,snapchat,2.010416667,Familiar,yellow,Strong,snapchat,1
dhun1,coca cola,2.09375,Familiar,red,Strong,cococola ,1
dhun1,district,3.036458333,Unfamiliar,purple,Weak,milka,0
dhun1,hilton,3.958333333,Unfamiliar,blue,Weak,"dropbox
 ",0
dhun1,motherdairy,3.984375,Unfamiliar,light blue,strong,mother dairy,1
dhun1,alibaba,4.979166667,Unfamiliar,orange,strong,ali baba,1
dhun1,ups,5,Unfamiliar,blackgold,weak,,0
